year,session,field,subject,topic,total_question_count,avg_confidence_score,easy_count,medium_count,hard_count,unknown_count,is_zero_filled,target_confidence_score
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,İşlevsel Bölge ve Kalkınma Projeleri,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Şehirler ve Kırsal Yerleşmeler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,3,0.9499999999999998,0.0,3.0,0.0,0.0,False,0.9499999999999998
2022,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,3,0.9499999999999998,0.0,3.0,0.0,0.0,False,0.9499999999999998
2025,AYT,ESIT_AGIRLIK,Geometri,Doğrunun Analitik İncelenmesi,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Geometri,Dönüşümler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Geometri,Katı Cisimler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Geometri,Çember ve Daire,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Geometri,Çember ve Daire,1,0.95,0.0,1.0,0.0,0.0,False,0.95
