id,year,exam,session,field,branch,subject,topic,subtopic,question_no,question_count,difficulty_level,is_common,source_type,source_note,confidence_score,label_note
56,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
57,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
58,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
59,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
60,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
61,2024,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
62,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
63,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
64,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
65,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
66,2023,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,5,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
67,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
68,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
69,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
70,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
71,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,5,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
72,2022,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,6,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
73,2021,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
74,2021,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
75,2021,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,3,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
76,2021,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,4,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
77,2020,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
78,2020,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,2,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
